papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y,setor,valor_de_mercado,empresa,dt_ultima_cot
TAEE4,11.94,9.47,1.82,3.397,0.0965,0.623,7.84,6.04,-1.26,10.47,10.37,0.5625,0.35850000000000004,0.1099,0.1924,1.92,2315730.0,6768230000.0,1.5,0.0258,Energia Elétrica,12340000000,TAESA PN N2,2024-08-21
TAMM3,52.6,-22.68,3.79,0.625,0.0,0.523,-31.04,9.74,-0.96,17.98,9.65,0.0641,-0.022099999999999998,0.0636,-0.16699999999999998,0.95,0.0,2174310000.0,4.08,0.09789999999999999,Transporte,8234420000,TAM ON,2012-07-11
TAMM4,52.73,-22.74,3.8,0.626,0.0,0.524,-31.11,9.77,-0.96,18.01,9.66,0.0641,-0.022099999999999998,0.0636,-0.16699999999999998,0.95,0.0,2174310000.0,4.08,0.09789999999999999,Transporte,8254780000,TAM PN,2012-07-18
TANC4,43.0,-18.54,3.1,0.511,0.0,0.428,-25.37,7.96,-0.78,16.2,8.69,0.0641,-0.022099999999999998,0.0636,-0.16699999999999998,0.95,0.0,2174310000.0,4.08,0.09789999999999999,Transporte,6731560000,TAM PN,2005-04-27
TARP11,18.02,0.82,0.25,26.009,0.0,0.245,0.0,197.74,0.0,195.29,195.29,0.1315,31.7005,0.0,0.2989,0.0,0.0,678212000.0,0.0,-0.7136,Holdings Diversificadas,166301000,TARPON DR3,2010-11-26
TASA3,11.39,18.38,1.22,0.841,0.026600000000000002,0.63,3.83,9.56,8.86,11.83,9.37,0.08789999999999999,0.0458,0.0776,0.0665,1.42,174856.0,1181170000.0,0.5,0.0632,Máquinas e Equipamentos,1442360000,TAURUS ARMAS ON,2024-08-21
TASA4,11.3,18.23,1.21,0.834,0.0269,0.625,3.8,9.49,8.79,11.76,9.31,0.08789999999999999,0.0458,0.0776,0.0665,1.42,3234560.0,1181170000.0,0.5,0.0632,Máquinas e Equipamentos,1430960000,TAURUS ARMAS PN,2024-08-21
TBLE5,12.0,2.24,0.89,0.921,0.0,0.211,7.96,1.8,-0.37,4.93,4.18,0.5115,0.4108,0.1322,0.3951,1.19,0.0,11061500000.0,1.92,-0.0148,Energia Elétrica,9791130000,ENGIE BRASIL PNA,2005-07-12
TBLE6,10.65,1.99,0.79,0.817,0.0,0.187,7.06,1.6,-0.32,4.73,4.01,0.5115,0.4108,0.1322,0.3951,1.19,0.0,11061500000.0,1.92,-0.0148,Energia Elétrica,8689630000,ENGIE BRASIL PNB,2005-08-08
TCNO3,1.2,-6.81,-8.4,0.0,0.0,0.034,-0.08,-2.87,-0.04,-15.11,-17.45,0.0,0.0,-0.0159,1.2336,0.28,0.0,-946000.0,-35.76,-0.3239,Construção e Engenharia,7944000,TECNOSOLO S/A ON,2022-10-26
TCNO4,0.85,-4.82,-5.95,0.0,0.0,0.024,-0.06,-2.04,-0.03,-14.27,-16.48,0.0,0.0,-0.0159,1.2336,0.28,0.0,-946000.0,-35.76,-0.3239,Construção e Engenharia,5627000,TECNOSOLO S/A PN,2022-10-26
TCOC3,38.85,14.9,1.8,2.225,0.0,1.307,3.78,14.48,4.39,12.23,12.23,0.1537,0.1493,0.1398,0.1206,2.53,0.0,2812920000.0,0.04,0.1671,,5053140000,TELE CENTRO OESTE CELULAR PARTICIP. S/A ON,2006-03-30
TCOC4,27.2,10.43,1.26,1.558,0.0,0.915,2.65,10.14,3.07,7.89,7.89,0.1537,0.1493,0.1398,0.1206,2.53,0.0,2812920000.0,0.04,0.1671,,3537850000,TELE CENTRO OESTE CELULAR PARTICIP. S/A PN,2006-03-30
TCSA3,2.04,-1.29,0.31,0.325,0.0,0.098,0.41,-1.21,-0.52,-5.53,-5.92,-0.2697,-0.25730000000000003,-0.0965,-0.2422,1.94,169104.0,482547000.0,1.57,0.1777,Construção Civil,150183000,TECNISA ON NM,2024-08-21
TCSL4,7.82,9.95,0.83,1.105,0.0,0.475,8.93,5.69,-2.2,5.61,2.18,0.19440000000000002,0.11109999999999999,0.0967,0.0833,1.34,0.0,22847800000.0,0.14,0.0229,Telecomunicações,18932500000,TIM PARTICIPAÇÕES S.A. PN,2011-08-02
TDBH3,0.56,-15.81,1.08,0.769,0.0,0.688,-5.22,7.4,-4.8,8.91,8.91,0.1038,-0.048600000000000004,0.1048,-0.06849999999999999,0.63,0.0,554115000.0,0.27,0.3574,,599846000,TELEFÔNICA EMPRESAS S.A ON,2006-08-29
TDBH4,0.66,-18.63,1.28,0.906,0.0,0.811,-6.15,8.73,-5.66,10.23,10.23,0.1038,-0.048600000000000004,0.1048,-0.06849999999999999,0.63,0.0,554115000.0,0.27,0.3574,,706961000,TELEFÔNICA EMPRESAS S.A PN,2006-08-29
TECN3,6.25,6.26,1.0,1.114,0.0263,0.629,1.22,6.5,2.33,6.36,7.52,0.1714,0.17800000000000002,0.1219,0.1594,5.1,2726540.0,401873000.0,0.21,0.1001,"Tecidos, Vestuário e Calçados",400662000,TECHNOS ON NM,2024-08-21
TEFC11,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,3.45,0.2354,0.1418,0.1485,0.4672,0.61,0.0,45856000000.0,2.95,0.1291,,69083000,TELEFÓNICA DR3,2011-07-22
TEKA3,42.5,-0.15,-0.01,0.069,0.0,0.018,-0.01,2.33,-0.01,64.79,43.68,0.0297,-0.46270000000000006,0.0123,0.067,0.05,331.4,-2136020000.0,-0.27,0.2366,"Tecidos, Vestuário e Calçados",21377500,TEKA S.A. ON,2024-07-01
TEKA4,28.1,-0.1,-0.01,0.046,0.0,0.012,-0.01,1.54,0.0,64.0,43.15,0.0297,-0.46270000000000006,0.0123,0.067,0.05,1971.05,-2136020000.0,-0.27,0.2366,"Tecidos, Vestuário e Calçados",14134300,TEKA S.A. PN,2024-08-20
TELB3,14.0,-4.22,0.94,3.047,0.0,0.303,0.9,-3.54,-1.21,-0.11,-0.47,-0.861,-0.7218000000000001,-0.1338,-0.2224,4.88,15743.9,1288020000.0,0.06,0.1399,Telecomunicações,1209360000,TELEBRAS ON,2024-08-21
TELB4,9.1,-2.74,0.61,1.98,0.0,0.197,0.58,-2.3,-0.78,1.13,4.97,-0.861,-0.7218000000000001,-0.1338,-0.2224,4.88,53517.7,1288020000.0,0.06,0.1399,Telecomunicações,786085000,TELEBRAS PN,2024-08-21
TEMP3,4.15,11.64,4.92,0.98,0.0,2.014,9.98,10.6,19.39,9.55,7.74,0.0925,0.0842,0.34490000000000004,0.4227,1.41,0.0,135736000.0,0.23,-0.1311,Serv.Méd.Hospit. Análises e Diagnósticos,668071000,TEMPO PART ON,2016-04-29
